Payment_ID,Payment_Date,Customer_ID,Payment_Method,Gateway,Amount,Payment_Status,Customer_Type,Region,Processing_Time_Min
PAY10001,2025-01-01 00:00:00.000,CUST1148,Wallet,Stripe,3999.0,Success,Returning,West,1.6
PAY10002,2025-01-01 14:35:03.506,CUST1218,Credit Card,Cashfree,499.0,Refunded,Returning,Central,21.14
PAY10003,2025-01-02 05:10:07.012,CUST1219,Net Banking,PayU,799.0,Success,Returning,East,1.27
PAY10004,2025-01-02 19:45:10.518,CUST1213,Credit Card,Cashfree,1499.0,Success,New,North,17.89
PAY10005,2025-01-03 10:20:14.023,CUST1082,Wallet,Stripe,1499.0,Success,Returning,West,24.29
PAY10006,2025-01-04 00:55:17.529,CUST1077,Wallet,PayU,299.0,Success,Returning,Central,11.5
PAY10007,2025-01-04 15:30:21.035,CUST1208,UPI,Cashfree,2999.0,Success,Returning,North,6.64
PAY10008,2025-01-05 06:05:24.541,CUST1201,Wallet,Stripe,2999.0,Failed,Returning,North,17.92
PAY10009,2025-01-05 20:40:28.047,CUST1191,UPI,Razorpay,999.0,Success,Returning,North,20.61
PAY10010,2025-01-06 11:15:31.553,CUST1076,Net Banking,Stripe,2499.0,Success,New,North,14.11
PAY10011,2025-01-07 01:50:35.058,CUST1172,Credit Card,Razorpay,799.0,Success,New,East,24.21
PAY10012,2025-01-07 16:25:38.564,CUST1038,Credit Card,Cashfree,1999.0,Refunded,New,East,2.24
PAY10013,2025-01-08 07:00:42.070,CUST1211,UPI,PayU,3999.0,Failed,New,East,13.12
PAY10014,2025-01-08 21:35:45.576,CUST1188,Credit Card,PayU,299.0,Success,Returning,Central,18.24
PAY10015,2025-01-09 12:10:49.082,CUST1071,Wallet,Cashfree,1499.0,Success,Returning,Central,21.7
PAY10016,2025-01-10 02:45:52.588,CUST1249,Debit Card,PayU,999.0,Success,New,Central,5.3
PAY10017,2025-01-10 17:20:56.093,CUST1227,UPI,PayU,2999.0,Success,New,South,20.2
PAY10018,2025-01-11 07:55:59.599,CUST1048,Credit Card,Razorpay,299.0,Success,Returning,Central,14.26
PAY10019,2025-01-11 22:31:03.105,CUST1018,UPI,Cashfree,1499.0,Success,New,East,10.52
PAY10020,2025-01-12 13:06:06.611,CUST1144,UPI,Stripe,1999.0,Success,New,East,4.16
PAY10021,2025-01-13 03:41:10.117,CUST1183,Debit Card,Razorpay,999.0,Success,New,South,21.77
PAY10022,2025-01-13 18:16:13.623,CUST1039,Wallet,Cashfree,3999.0,Success,New,South,4.77
PAY10023,2025-01-14 08:51:17.129,CUST1196,UPI,Razorpay,1499.0,Success,New,Central,8.43
PAY10024,2025-01-14 23:26:20.634,CUST1187,Credit Card,Stripe,1499.0,Success,New,West,7.96
PAY10025,2025-01-15 14:01:24.140,CUST1089,Net Banking,Stripe,1499.0,Success,New,South,21.91
PAY10026,2025-01-16 04:36:27.646,CUST1224,UPI,Cashfree,299.0,Failed,Returning,North,17.14
PAY10027,2025-01-16 19:11:31.152,CUST1062,UPI,Stripe,299.0,Success,New,East,20.12
PAY10028,2025-01-17 09:46:34.658,CUST1232,Debit Card,Razorpay,2999.0,Success,Returning,North,7.01
PAY10029,2025-01-18 00:21:38.164,CUST1141,Wallet,Stripe,2999.0,Success,New,East,16.0
PAY10030,2025-01-18 14:56:41.669,CUST1109,Net Banking,Razorpay,1999.0,Success,New,East,14.72
PAY10031,2025-01-19 05:31:45.175,CUST1081,Credit Card,Razorpay,999.0,Success,Returning,South,20.99
PAY10032,2025-01-19 20:06:48.681,CUST1241,Net Banking,Stripe,499.0,Success,New,South,22.75
